Element,Intensity,Wavelength,Wavelength in NIST,Notes
He I,4761.847645429363,587.1694592291396,587.5621,Present in 9/23 run.
Ne I,3115.6371191135736,639.8174800442641,640.1076,
He,2426.9196675900275,587.2927532901352,587.28275,Present in 9/23 run (a lot less so though).
,2283.808864265928,584.8258781206188,,
,2121.93351800554,639.6964831385992,,
,2013.753462603878,639.9384714998037,,
,1503.5900277008311,584.9492715480342,,
,1413.1412742382272,640.0594575047171,,
C I,1407.6980609418283,587.0461599338261,587.0655,
,1289.1994459833795,613.9228926368087,,
,1000.4349030470914,587.4160421163123,,
,966.2797783933518,640.1804380585037,,
,894.4155124653739,613.8007462661872,,
,881.5540166204986,614.0450336639569,,
,859.5706371191136,650.2027719391626,,
,813.4764542936288,585.0726597501445,,
,738.7811634349031,640.3014131606626,,
,723.606648199446,587.5393257071698,,
,721.8531855955679,650.323292810748,,
,720.5484764542937,667.3812402310654,,
,713.3518005540167,639.5754807833094,,
,710.8891966759003,614.1671693471309,,
,710.1634349030471,633.0332747847577,,
,705.8642659279778,584.7024794683991,,
,696.9667590027701,626.2320658652143,,
,696.8282548476454,637.88087587906,,
,695.0083102493074,609.1552296157606,,
,694.6648199445983,609.2775786673462,,
,693.4681440443213,702.694314702498,,
,688.9916897506926,587.6626040622073,,
,685.6897506925208,587.7858771809239,,
,685.6426592797784,667.2615044757421,,
,684.2437673130194,650.0822455743906,,
,683.4016620498614,585.1960427264487,,
,681.4293628808864,594.0658511443312,,
,680.5041551246537,702.8123699927045,,
,680.4736842105264,640.4223828106934,,
,674.2188365650969,650.4438081886458,,
,673.7950138504156,586.9228554046952,,
,672.8393351800554,692.4016881204693,,
,672.8282548476454,587.9091450628189,,
,670.8864265927978,667.5009704215998,,
,670.0443213296398,640.5433470080952,,
,668.8947368421053,585.3194204764466,,
,667.8060941828255,633.154570676222,,
,666.623268698061,705.9977012954397,,
,666.398891966759,655.8613061084474,,
,665.7146814404432,692.5202386120607,,
,664.7146814404432,626.3536646223666,,
,664.1828254847645,702.9304195689097,,
,663.5373961218836,614.2892996858299,,
,663.404432132964,607.0744815837036,,
,662.786703601108,588.0324077073916,,
,662.6869806094182,632.911973471208,,
,662.6426592797784,588.1556651141415,,
,662.606648199446,640.6643057523671,,
,662.4265927977839,640.7852590430089,,
,662.016620498615,638.0019544765206,,
,661.6315789473684,609.3999223944851,,
,661.5844875346261,588.4021642121692,,
,661.4958448753463,637.7597918394856,,
,661.2520775623269,594.1888512843813,,
,660.8282548476454,671.2098434610514,,
,660.8254847645429,614.4114246795535,,
,660.6481994459833,615.9985629773521,,
,659.4764542936288,655.7410384647242,,
,659.3462603878116,650.5643180723554,,
,659.213296398892,667.6206950468448,,
,659.1052631578947,706.1155964043395,,
,658.972299168975,692.6387834332126,,
,658.8947368421053,703.0484634306126,,
,658.8891966759003,585.5661602955196,,
,658.4321329639889,659.4667678945068,,
,658.4238227146815,640.9062068795193,,
,658.196675900277,588.2789172825675,,
,658.1329639889196,585.442792999637,,
,658.0692520775623,641.027149261398,,
,657.8587257617728,588.6486423528966,,
,657.5484764542937,615.8765075138767,,
,657.5457063711912,667.7404141062997,,
,657.393351800554,588.8950995323178,,
,657.2936288088642,702.5762536987912,,
,657.2603878116344,641.1480861881442,,
,657.1828254847645,588.5254059024459,,
,657.1772853185596,706.2334857852178,,
,657.1052631578947,655.9815682354504,,
,656.9002770083102,641.2690176592571,,
,656.8891966759003,703.2845340085098,,
,656.7257617728532,585.8128792033576,,
,656.6980609418282,692.875856062196,,
,656.6509695290858,638.1230276313665,,
,656.6454293628809,609.5222607966772,,
,656.5290858725762,703.1665015773129,,
,656.2631578947369,626.4752579849727,,
,656.1745152354571,606.9520367777054,,
,655.9473684210526,626.1104617140167,,
,655.9307479224377,641.7526889773618,,
,655.9030470914128,671.3293953139688,,
,655.8171745152355,641.631779333789,,
,655.8005540166205,614.6556586300707,,
,655.6398891966759,616.120613088842,,
,655.5678670360111,607.1969210742684,,
,655.4903047091412,688.6050813938836,,
,655.4819944598338,589.141535746427,,
,655.3961218836565,594.3118461615728,,
,655.3711911357341,650.6848224613763,,
,655.3518005540167,667.8601275994636,,
,655.3379501385042,692.9943838690258,,
,655.3240997229917,692.046002628067,,
,655.2105263157895,692.2831319589395,,
,655.1772853185596,641.3899436742358,,
,655.1301939058171,613.6785945525926,,
,655.1191135734072,593.9428457419231,,
,655.0969529085872,586.7995456422477,,
,655.0193905817174,705.8798004590195,,
,654.972299168975,614.5335443278005,,
,654.9501385041551,602.6631237351801,,
,654.9445983379501,697.1392798944427,,
,654.8975069252077,693.3499332528598,,
,654.8919667590028,615.1440623693662,,
,654.8753462603878,615.6323805329718,,
,654.8559556786704,688.1300981346484,,
,654.8448753462604,612.212357419843,,
,654.7783933518006,597.2621430547231,,
,654.7451523545707,609.6445938734214,,
,654.7229916897506,692.7573225834244,,
,654.6565096952909,671.4489415855741,,
,654.6454293628809,642.115385157256,,
,654.6204986149585,615.7544466989164,,
,654.595567867036,693.1129060034136,,
,654.5817174515236,682.4232546016134,,
,654.578947368421,588.7718735630208,,
,654.5567867036011,589.3879509912188,,
,654.5180055401662,614.8998711946767,,
,654.5041551246537,667.1417631561308,,
,654.4847645429363,695.6005596046635,,
,654.409972299169,706.351369437574,,
,654.398891966759,586.552910419406,,
,654.3739612188366,615.0219694560114,,
,654.3684210526316,621.2418782969638,,
,654.365650969529,659.5868642870695,,
,654.3490304709142,590.1270708696313,,
,654.3213296398892,586.3062542693066,,
,654.2853185595568,693.5869378065294,,
,654.2770083102494,590.8660018799803,,
,654.2520775623269,686.7046059014893,,
,654.2465373961219,609.7669216242169,,
,654.2299168975069,685.8726932573474,,
,654.2160664819944,659.3466659702024,,
,654.2105263157895,704.3465686090076,,
,654.202216066482,668.0995378849159,,
,654.202216066482,589.7575345321734,,
,654.1911357340721,590.7428598320164,,
,654.1828254847645,694.4162749572951,,
,654.1385041551247,618.4385476639346,,
,654.1246537396122,597.139274636353,,
,654.1052631578947,591.8509492454135,,
,654.1052631578947,585.6895223635934,,
,654.0692520775623,589.6343452626871,,
,654.0692520775623,589.5111507488688,,
,654.0443213296398,683.9701407170834,,
,654.0249307479224,596.7706377339907,,
,654.005540166205,667.979835525836,,
,654.0027700831025,621.3636977993978,,
,653.9695290858725,679.3266301362708,,
,653.9556786703602,685.0405041356382,,
,653.9224376731302,698.5587836149806,,
,653.9113573407202,753.3866425302383,,
,653.8947368421053,676.3455270321925,,
,653.8864265927978,589.0183202602866,,
,653.8753462603878,609.8892440485633,,
,653.8725761772853,633.2758611451002,,
,653.8698060941829,585.9362308143119,,
,653.8504155124654,685.7538260202954,,
,653.8254847645429,673.958123119378,,
,653.8227146814404,689.7921436977704,,
,653.797783933518,751.4217533010199,,
,653.797783933518,703.4025607237023,,
,653.792243767313,691.4530801120112,,
,653.786703601108,748.181735267648,,
,653.775623268698,638.2440953430969,,
,653.7728531855955,630.120547915613,,
,653.7645429362881,691.690266119737,,
,653.7534626038781,599.3500986258333,,
,653.7506925207756,641.5108642325803,,
,653.7479224376731,693.4684383669171,,
,653.7396121883656,606.8295866567743,,
,653.7313019390582,723.9687544699503,,
,653.7257617728532,680.0415729941811,,
,653.7146814404432,694.7716199980204,,
,653.7146814404432,591.6047439141114,,
,653.6980609418282,685.6349531413449,,
,653.6897506925208,594.4348357754052,,
,653.6759002770083,586.182918347787,,
,653.6675900277008,701.6315600431984,,
,653.6675900277008,676.5841442380384,,
,653.6537396121884,671.5684822753661,,
,653.6426592797784,590.6197125352138,,
,653.6398891966759,678.6114851433971,,
,653.6371191135734,687.7738013433843,,
,653.6371191135734,656.1018248452324,,
,653.634349030471,699.6228731830026,,
,653.623268698061,642.2362729652771,,
,653.606648199446,606.707131221411,,
,653.5983379501386,616.3646972538619,,
,653.590027700831,586.0595771959553,,
,653.5872576177285,590.3734021970956,,
,653.578947368421,695.7189568186442,,
,653.5650969529086,690.029488267496,,
,653.562326869806,696.4292207218739,,
,653.5567867036011,706.704986018504,,
,653.5484764542937,609.0328752402295,,
,653.5429362880886,689.1986832510681,,
,653.5429362880886,608.6657801749694,,
,653.5346260387812,602.5404879070494,,
,653.5290858725762,602.7857542659027,,
,653.5235457063712,696.074114354832,,
,653.5180055401662,606.2172563456515,,
,653.5041551246537,685.278300658109,,
,653.5013850415512,669.7747860659417,,
,653.4792243767313,612.0901362931675,,
,653.4709141274238,676.2262100255058,,
,653.4570637119114,693.8239196604158,,
,653.4570637119114,591.112270227389,,
,653.4542936288088,704.9363876370021,,
,653.4542936288088,691.2158714405539,,
,653.4542936288088,683.3752971464983,,
,653.4515235457063,684.2080387081072,,
,653.404432132964,686.4669447966025,,
,653.3961218836565,693.2314224648586,,
,653.3905817174515,611.7234408993671,,
,653.3878116343491,595.910300417102,,
,653.3850415512466,703.7566065682481,,
,653.3795013850415,692.1645701279717,,
,653.376731301939,670.9707230132824,,
,653.365650969529,698.2039845467192,,
,653.365650969529,677.657644241,,
,653.365650969529,619.7796252766913,,
,653.365650969529,602.049891630463,,
,653.3601108033241,703.5205817223901,,
,653.3573407202216,684.8026850575902,,
,653.3545706371191,690.8600159476341,,
,653.3379501385042,687.1798603564058,,
,653.3268698060942,684.9215974158111,,
,653.3185595567867,723.851735766474,,
,653.3102493074792,680.9945155189633,,
,653.3047091412742,705.4081398481469,,
,653.3047091412742,686.5857781717478,,
,653.2991689750693,712.2382371240626,,
,653.2991689750693,604.2569072545024,,
,653.2963988919668,611.4789506303624,,
,653.2908587257617,702.2220364116736,,
,653.2908587257617,681.7089863080269,,
,653.2908587257617,668.697966153406,,
,653.2908587257617,611.6011984318448,,
,653.2880886426593,714.35399127612,,
,653.2853185595568,683.8511832697395,,
,653.2853185595568,681.2326949414725,,
,653.2853185595568,626.5968459525315,,
,653.2770083102494,600.9457403050617,,
,653.2742382271468,675.3908341551758,,
,653.2659279778393,697.7308394020781,,
,653.2603878116344,704.7004771913417,,
,653.2520775623269,677.2998613593047,,
,653.2465373961219,698.3222565979473,,
,653.2465373961219,684.3269792507853,,
,653.2409972299168,751.65300562179,,
,653.2409972299168,668.4586115533948,,
,653.2326869806094,603.1536140686164,,
,653.2299168975069,681.35177621867,,
,653.2216066481994,591.4816333696946,,
,653.2188365650969,682.0661457735143,,
,653.2160664819944,675.0327319399717,,
,653.2105263157895,693.9424020736888,,
,653.196675900277,696.1924888299744,,
,653.1883656509696,595.2956156561086,,
,653.1717451523546,688.4863440586964,,
,653.1634349030471,677.7768939865325,,
,653.1523545706372,683.137320291569,,
,653.1523545706372,666.6627422448194,,
,653.1440443213296,701.1590761835186,,
,653.1385041551247,686.2292611121043,,
,653.1329639889196,680.1607104775618,,
,653.1163434903048,674.793969144829,,
,653.0969529085872,680.3989685887269,,
,653.0914127423823,593.8198350776577,,
,653.0831024930748,678.2538368801471,,
,653.0775623268698,684.0890925300396,,
,653.0747922437673,684.4459141575734,,
,653.0692520775623,704.8184352754287,,
,653.0664819944599,671.0902860273223,,
,653.0664819944599,586.4295849600132,,
,653.0581717451523,671.8075469075087,,
,653.0554016620499,748.7606499591557,,
,653.0498614958449,691.571675949091,,
,653.0498614958449,688.7238130751547,,
,653.0387811634349,690.2668101975249,,
,653.0360110803324,684.6837670614766,,
,653.0332409972299,606.0947743456384,,
,653.0304709141275,685.5160746209967,,
,653.0304709141275,684.5648434279708,,
,653.0083102493074,681.4708518724956,,
,653.0083102493074,595.1726628998118,,
,653.0027700831025,604.379468873358,,
,652.9916897506926,696.3108576191552,,
,652.98891966759,591.2353965258327,,
,652.9861495844875,672.4051107710872,,
,652.9806094182826,694.653177330397,,
,652.9778393351801,689.0799741904669,,
,652.9778393351801,679.2074533383545,,
,652.9778393351801,612.9455720966379,,
,652.9750692520776,706.587119554718,,
,652.972299168975,709.7675011981269,,
,652.9667590027701,603.6440196114816,,
,652.9584487534626,602.2952003605676,,
,652.9556786703602,690.148152062723,,
,652.9501385041551,615.5103090165438,,
,652.9390581717452,610.0115611459598,,
,652.9362880886426,676.464838436537,,
,652.9252077562327,694.0608788105138,,
,652.9196675900278,691.0972586071778,,
,652.9141274238227,689.4360844025118,,
,652.9113573407202,673.838694170996,,
,652.9085872576177,681.9470982440607,,
,652.9058171745153,674.0775464754322,,
,652.9030470914128,595.0497048766508,,
,652.8947368421053,742.6166480284533,,
,652.8891966759003,620.7545465570726,,
,652.8891966759003,592.3432968638708,,
,652.8864265927978,590.4965599900734,,
,652.8836565096952,601.5592106354077,,
,652.8781163434903,686.3481057765543,,
,652.8698060941829,695.0084882929075,,
,652.8642659279778,616.4867313063908,,
,652.8642659279778,604.6245761973149,,
